"Id","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","TotalBsmtSF","GrLivArea","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","SalePrice"
1,65,8450,7,5,2003,2003,856,1710,3,8,0,2003,2,548,0,208500
2,80,9600,6,8,1976,1976,1262,1262,3,6,1,1976,2,460,298,181500
3,68,11250,7,5,2001,2002,920,1786,3,6,1,2001,2,608,0,223500
4,60,9550,7,5,1915,1970,756,1717,3,7,1,1998,3,642,0,140000
5,84,14260,8,5,2000,2000,1145,2198,4,9,1,2000,3,836,192,250000
6,85,14115,5,5,1993,1995,796,1362,1,5,0,1993,2,480,40,143000
7,75,10084,8,5,2004,2005,1686,1694,3,7,1,2004,2,636,255,307000
8,NA,10382,7,6,1973,1973,1107,2090,3,7,2,1973,2,484,235,200000
9,51,6120,7,5,1931,1950,952,1774,2,8,2,1931,2,468,90,129900
10,50,7420,5,6,1939,1950,991,1077,2,5,2,1939,1,205,0,118000
11,70,11200,5,5,1965,1965,1040,1040,3,5,0,1965,1,384,0,129500
12,85,11924,9,5,2005,2006,1175,2324,4,11,2,2005,3,736,147,345000
13,NA,12968,5,6,1962,1962,912,912,2,4,0,1962,1,352,140,144000
14,91,10652,7,5,2006,2007,1494,1494,3,7,1,2006,3,840,160,279500
15,NA,10920,6,5,1960,1960,1253,1253,2,5,1,1960,1,352,0,157000
16,51,6120,7,8,1929,2001,832,854,2,5,0,1991,2,576,48,132000
17,NA,11241,6,7,1970,1970,1004,1004,2,5,1,1970,2,480,0,149000
18,72,10791,4,5,1967,1967,0,1296,2,6,0,1967,2,516,0,90000
19,66,13695,5,5,2004,2004,1114,1114,3,6,0,2004,2,576,0,159000
20,70,7560,5,6,1958,1965,1029,1339,3,6,0,1958,1,294,0,139000
21,101,14215,8,5,2005,2006,1158,2376,4,9,1,2005,3,853,240,325300
22,57,7449,7,7,1930,1950,637,1108,3,6,1,1930,1,280,0,139400
23,75,9742,8,5,2002,2002,1777,1795,3,7,1,2002,2,534,171,230000
24,44,4224,5,7,1976,1976,1040,1060,3,6,1,1976,2,572,100,129900
25,NA,8246,5,8,1968,2001,1060,1060,3,6,1,1968,1,270,406,154000
26,110,14230,8,5,2007,2007,1566,1600,3,7,1,2007,3,890,0,256300
27,60,7200,5,7,1951,2000,900,900,3,5,0,2005,2,576,222,134800
28,98,11478,8,5,2007,2008,1704,1704,3,7,1,2008,3,772,0,306000
29,47,16321,5,6,1957,1997,1484,1600,2,6,2,1957,1,319,288,207500
30,60,6324,4,6,1927,1950,520,520,1,4,0,1920,1,240,49,68500
31,50,8500,4,4,1920,1950,649,1317,3,6,0,1920,1,250,0,40000
32,NA,8544,5,6,1966,2006,1228,1228,3,6,0,1966,1,271,0,149350
33,85,11049,8,5,2007,2007,1234,1234,3,7,0,2007,2,484,0,179900
34,70,10552,5,5,1959,1959,1398,1700,4,6,1,1959,2,447,0,165500
35,60,7313,9,5,2005,2005,1561,1561,2,6,1,2005,2,556,203,277500
36,108,13418,8,5,2004,2005,1117,2452,4,9,1,2004,3,691,113,309000
37,112,10859,5,5,1994,1995,1097,1097,3,6,0,1995,2,672,392,145000
38,74,8532,5,6,1954,1990,1297,1297,3,5,1,1954,2,498,0,153000
39,68,7922,5,7,1953,2007,1057,1057,3,5,0,1953,1,246,0,109000
40,65,6040,4,5,1955,1955,0,1152,2,6,0,NA,0,0,0,82000
41,84,8658,6,5,1965,1965,1088,1324,3,6,1,1965,2,440,0,160000
42,115,16905,5,6,1959,1959,1350,1328,2,5,2,1959,1,308,0,170000
43,NA,9180,5,7,1983,1983,840,884,2,5,0,1983,2,504,240,144000
44,NA,9200,5,6,1975,1980,938,938,3,5,0,1977,1,308,145,130250
45,70,7945,5,6,1959,1959,1150,1150,3,6,0,1959,1,300,0,141000
46,61,7658,9,5,2005,2005,1752,1752,2,6,1,2005,2,576,196,319900
47,48,12822,7,5,2003,2003,1434,2149,1,6,1,2003,2,670,168,239686
48,84,11096,8,5,2006,2006,1656,1656,3,7,0,2006,3,826,0,249700
49,33,4456,4,5,1920,2008,736,1452,2,8,0,NA,0,0,0,113000
50,66,7742,5,7,1966,1966,955,955,3,6,0,1966,1,386,0,127000
51,NA,13869,6,6,1997,1997,794,1470,3,6,0,1997,2,388,0,177000
52,52,6240,6,6,1934,1950,816,1176,3,6,1,1985,2,528,112,114500
53,110,8472,5,5,1963,1963,816,816,2,5,0,1963,2,516,106,110000
54,68,50271,9,5,1981,1987,1842,1842,0,5,1,1981,3,894,857,385000
55,60,7134,5,5,1955,1955,384,1360,3,6,1,1962,2,572,0,130000
56,100,10175,6,5,1964,1964,1425,1425,3,7,1,1964,2,576,0,180500
57,24,2645,8,5,1999,2000,970,1739,3,7,0,1999,2,480,115,172500
58,89,11645,7,5,2004,2004,860,1720,3,7,0,2004,2,565,0,196500
59,66,13682,10,5,2006,2006,1410,2945,3,10,1,2006,3,641,192,438780
60,60,7200,5,7,1972,1972,780,780,2,4,0,1973,1,352,196,124900
61,63,13072,6,5,2004,2004,1158,1158,3,5,0,2006,2,576,0,158000
62,60,7200,5,7,1920,1996,530,1111,3,6,0,1935,1,288,0,101000
63,44,6442,8,5,2006,2006,1370,1370,2,6,1,2006,2,484,120,202500
64,50,10300,7,6,1921,1950,576,1710,3,9,0,1990,2,480,12,140000
65,NA,9375,7,5,1997,1998,1057,2034,3,8,0,1998,2,645,576,219500
66,76,9591,8,5,2004,2005,1143,2473,4,9,1,2004,3,852,192,317000
67,NA,19900,7,5,1970,1989,1947,2207,3,7,1,1970,2,576,301,180000
68,72,10665,7,5,2003,2003,1453,1479,3,7,0,2003,2,558,144,226000
69,47,4608,4,6,1945,1950,747,747,2,4,0,1945,1,220,0,80000
70,81,15593,7,4,1953,1953,1304,2287,3,7,1,1953,2,667,0,225000
71,95,13651,7,6,1973,1973,2223,2223,3,8,2,1973,2,516,300,244000
72,69,7599,4,6,1982,2006,845,845,2,4,0,1987,2,360,0,129500
73,74,10141,7,5,1998,1998,832,1718,3,7,1,1998,2,427,0,185000
74,85,10200,5,7,1954,2003,1086,1086,3,6,0,1989,2,490,0,144900
75,60,5790,3,6,1915,1950,840,1605,3,8,0,1915,1,379,0,107400
76,21,1596,4,5,1973,1973,462,988,2,5,0,1973,1,297,120,91000
77,NA,8475,4,7,1956,1956,952,952,2,4,0,1956,1,283,0,135750
78,50,8635,5,5,1948,2001,672,1285,2,6,0,1948,1,240,0,127000
79,72,10778,4,5,1968,1968,1768,1768,4,8,0,NA,0,0,0,136500
80,60,10440,5,6,1910,1981,440,1230,2,5,0,1966,2,440,74,110000
81,100,13000,6,6,1968,1968,896,2142,4,8,1,1968,1,509,0,193500
82,32,4500,6,5,1998,1998,1237,1337,2,5,0,1998,2,405,0,153500
83,78,10206,8,5,2007,2007,1563,1563,3,6,1,2007,3,758,144,245000
84,80,8892,5,5,1960,1960,1065,1065,3,6,0,1974,2,461,74,126500
85,NA,8530,7,5,1995,1996,384,1474,3,7,1,1995,2,400,120,168500
86,121,16059,8,5,1991,1992,1288,2417,4,9,1,1991,2,462,127,260000
87,122,11911,6,5,2005,2005,684,1560,3,6,1,2005,2,400,100,174000
88,40,3951,6,5,2009,2009,612,1224,2,4,0,2009,2,528,0,164500
89,105,8470,3,2,1915,1982,1013,1526,2,6,0,NA,0,0,0,85000
90,60,8070,4,5,1994,1995,990,990,3,5,0,NA,0,0,0,123600
91,60,7200,4,5,1950,1950,0,1040,2,4,0,1950,2,420,0,109900
92,85,8500,5,3,1961,1961,1235,1235,2,6,0,1961,2,480,0,98600
93,80,13360,5,7,1921,2006,876,964,2,5,0,1921,2,432,0,163500
94,60,7200,6,6,1910,1998,1214,2291,4,9,1,1900,2,506,0,133900
95,69,9337,6,5,1997,1997,824,1786,3,7,0,1997,2,684,0,204750
96,NA,9765,6,8,1993,1993,680,1470,3,6,1,1993,2,420,232,185000
97,78,10264,7,5,1999,1999,1588,1588,3,6,0,1999,2,472,158,214000
98,73,10921,4,5,1965,1965,960,960,3,6,0,1965,1,432,120,94750
99,85,10625,5,5,1920,1950,458,835,2,5,0,1920,1,366,0,83000
100,77,9320,4,5,1959,1959,950,1225,3,6,0,NA,0,0,352,128950
101,NA,10603,6,7,1977,2001,1610,1610,3,6,2,1977,2,480,168,205000
102,77,9206,6,5,1985,1985,741,1732,3,7,1,1985,2,476,192,178000
103,64,7018,5,5,1979,1979,0,1535,4,8,0,1979,2,410,0,118964
104,94,10402,7,5,2009,2009,1226,1226,3,6,0,2009,3,740,0,198900
105,NA,7758,7,4,1931,1950,1040,1818,4,7,2,1951,1,240,0,169500
106,75,9375,8,5,2003,2004,1053,1992,3,9,1,2003,2,648,140,250000
107,60,10800,4,7,1885,1995,641,1047,2,6,0,1954,1,273,0,100000
108,50,6000,5,5,1948,1950,789,789,2,5,0,1948,1,250,0,115000
109,85,8500,5,7,1919,2005,793,1517,3,7,0,NA,0,0,0,115000
110,105,11751,6,6,1977,1977,1844,1844,3,7,1,1977,2,546,0,190000
111,75,9525,6,4,1954,1972,994,1855,4,7,0,1954,1,325,182,136900
112,NA,7750,7,5,2000,2000,384,1430,3,7,1,2000,2,400,180,180000
113,77,9965,7,5,2007,2007,1264,2696,4,10,1,2007,3,792,120,383970
114,NA,21000,6,5,1953,1953,1809,2259,3,7,2,1953,2,450,166,217000
115,61,7259,6,8,1945,2002,1028,2320,3,9,1,1945,1,180,224,259500
116,34,3230,6,5,1999,1999,729,1458,2,5,1,1999,2,440,0,176000
117,NA,11616,5,5,1962,1962,1092,1092,3,6,1,1962,1,288,0,139000
118,74,8536,5,5,2006,2007,1125,1125,2,5,0,2007,2,430,80,155000
119,90,12376,7,5,1990,1990,1673,3222,5,11,2,1990,3,594,367,320000
120,65,8461,6,5,2005,2006,728,1456,3,8,1,2005,2,390,0,163990
121,NA,21453,6,5,1969,1969,938,988,1,4,2,1969,2,540,0,180000
122,50,6060,4,5,1939,1950,732,1123,3,4,0,1979,1,264,0,100000
123,75,9464,6,7,1958,1958,1080,1080,3,5,0,1958,1,288,0,136000
124,55,7892,6,5,1993,1993,1199,1199,2,5,0,1993,2,530,0,153900
125,48,17043,6,5,1979,1998,1362,1586,3,7,1,1979,2,435,192,181000
126,60,6780,6,8,1935,1982,520,754,2,5,0,NA,0,0,53,84500
127,NA,4928,6,5,1976,1976,1078,958,2,5,1,1977,2,440,0,128000
128,55,4388,5,7,1930,1950,672,840,3,5,1,NA,0,0,0,87000
129,69,7590,6,5,1966,1966,660,1348,3,6,1,1966,2,453,188,155000
130,69,8973,5,7,1958,1991,1008,1053,3,6,0,1998,2,750,0,150000
131,88,14200,7,6,1966,1966,924,2157,4,8,2,1966,2,487,105,226000
132,NA,12224,6,5,2000,2000,992,2054,3,7,1,2000,2,390,24,244000
133,75,7388,5,6,1959,2002,1063,1327,3,7,0,1974,2,624,0,150750
134,NA,6853,8,5,2001,2002,1267,1296,2,6,0,2001,2,471,192,220000
135,78,10335,5,6,1968,1993,1461,1721,3,7,1,1968,2,440,0,180000
136,80,10400,7,6,1970,1970,1304,1682,3,7,1,1970,2,530,98,174000
137,NA,10355,5,5,1967,1967,1214,1214,3,5,1,1967,1,318,0,143000
138,82,11070,7,5,1988,1989,1907,1959,5,9,0,1989,3,766,0,171000
139,73,9066,8,5,1999,2000,1004,1852,3,7,2,1999,3,660,224,230000
140,65,15426,6,5,1997,1997,928,1764,3,7,0,1997,2,470,276,231500
141,70,10500,4,5,1971,1971,864,864,3,5,1,NA,0,0,0,115000
142,78,11645,7,5,2005,2005,1734,1734,3,7,0,2005,2,660,160,260000
143,71,8520,5,4,1952,1952,910,1385,4,6,0,2000,2,720,0,166000
144,78,10335,7,5,1999,1999,1490,1501,3,6,0,1999,2,577,144,204000
145,70,9100,5,5,1963,1963,1728,1728,6,10,0,1963,2,504,0,125000
146,24,2522,6,5,2004,2006,970,1709,3,7,0,2004,2,380,0,130000
147,51,6120,5,7,1931,1993,715,875,2,5,0,1931,1,180,48,105000
148,NA,9505,7,5,2001,2001,884,2035,3,8,1,2001,2,434,144,222500
149,63,7500,7,5,2004,2005,1080,1080,3,6,0,NA,0,0,0,141000
150,NA,6240,5,4,1936,1950,896,1344,3,7,0,1936,1,240,200,115000
151,120,10356,5,6,1975,1975,969,969,3,5,0,1975,2,440,0,122000
152,107,13891,8,5,2007,2008,1710,1710,2,6,1,2007,3,866,0,372402
153,NA,14803,6,5,1971,1971,825,1993,4,8,1,1971,2,495,0,190000
154,NA,13500,6,7,1960,1975,1602,1252,1,4,1,1960,2,564,409,235000
155,84,11340,6,5,1923,1950,1200,1200,4,7,0,1923,1,312,0,125000
156,60,9600,6,5,1924,1950,572,1096,2,5,0,NA,0,0,0,79000
157,60,7200,5,7,1950,1950,0,1040,2,5,0,1950,2,625,0,109500
158,92,12003,8,5,2009,2010,774,1968,4,8,1,2009,3,680,0,269500
159,100,12552,7,5,2004,2005,991,1947,3,8,1,2004,2,678,0,254900
160,134,19378,7,5,2005,2006,1392,2462,4,9,1,2006,2,576,239,320000
161,NA,11120,6,6,1984,1984,1232,1232,3,6,0,1984,2,516,0,162500
162,110,13688,9,5,2003,2004,1572,2668,3,10,2,2003,3,726,400,412500
163,95,12182,7,5,2005,2005,1541,1541,3,7,1,2005,2,532,0,220000
164,55,5500,4,6,1956,1956,882,882,1,4,0,NA,0,0,0,103200
165,40,5400,6,7,1926,2004,1149,1616,3,5,0,1926,1,216,0,152000
166,62,10106,5,7,1940,1999,644,1355,4,6,0,NA,0,0,140,127500
167,NA,10708,5,5,1955,1993,1617,1867,2,7,3,1955,1,303,476,190000
168,86,10562,8,5,2007,2007,1582,2161,3,8,1,2007,3,789,178,325624
169,62,8244,7,5,2004,2004,840,1720,3,7,1,2004,2,440,100,183500
170,NA,16669,8,6,1981,1981,1686,1707,2,6,1,1981,2,511,574,228000
171,NA,12358,5,6,1941,1950,720,1382,2,7,0,1991,2,660,237,128500
172,141,31770,6,5,1960,1960,1080,1656,3,7,2,1960,2,528,210,215000
173,44,5306,7,7,1987,1987,1064,1767,2,5,1,1987,2,504,441,239000
174,80,10197,6,5,1961,1961,1362,1362,3,6,1,1961,2,504,0,163000
175,47,12416,6,5,1986,1986,1606,1651,3,7,1,1986,2,616,192,184000
176,84,12615,6,7,1950,2001,1202,2158,4,7,1,1950,2,576,0,243000
177,97,10029,6,5,1988,1989,1151,2060,4,8,1,1988,2,521,0,211000
178,NA,13650,5,5,1958,1958,1052,1920,4,8,1,1958,2,451,0,172500
179,63,17423,9,5,2008,2009,2216,2234,1,9,1,2009,3,1166,0,501837
180,60,8520,5,6,1923,2006,968,968,2,5,0,1935,2,480,0,100000
181,NA,2117,6,5,2000,2000,756,1525,3,5,1,2000,2,440,0,177000
182,54,7588,7,6,1920,1950,793,1802,4,9,1,1920,1,216,0,200100
183,60,9060,5,6,1957,2006,0,1340,3,7,1,1957,1,252,116,120000
184,63,11426,7,5,2003,2003,1362,2082,3,6,0,2003,2,484,280,200000
185,92,7438,5,8,1908,1991,504,1252,3,5,0,1986,2,576,104,127000
186,90,22950,10,9,1892,1993,1107,3608,4,12,2,1993,3,840,0,475000
187,NA,9947,7,5,1990,1991,1188,1217,3,6,0,1990,2,497,168,173000
188,60,10410,5,7,1916,1987,660,1656,3,8,0,1916,1,180,0,135000
189,64,7018,5,5,1979,1979,1086,1224,2,6,2,1979,2,528,120,153337
190,41,4923,8,5,2001,2002,1593,1593,0,5,1,2001,2,682,0,286000
191,70,10570,8,8,1932,1994,853,2727,3,10,2,1932,2,440,0,315000
192,NA,7472,7,9,1972,2004,725,1479,4,7,0,1972,2,484,0,184000
193,68,9017,7,5,1999,1999,1431,1431,3,6,0,1999,2,666,0,192000
194,24,2522,7,5,2004,2004,970,1709,3,7,0,2004,2,380,0,130000
195,60,7180,5,7,1972,1972,864,864,3,5,0,1989,1,352,0,127000
196,24,2280,6,6,1976,1976,855,1456,3,7,1,1976,2,440,87,148500
197,79,9416,7,5,2007,2007,1726,1726,3,8,1,2007,3,786,171,311872
198,174,25419,8,4,1918,1990,1360,3112,4,8,1,1918,2,795,0,235000
199,92,5520,6,6,1912,1950,755,2229,5,8,0,NA,0,0,0,104000
200,76,9591,8,5,2004,2005,1713,1713,3,7,1,2004,3,856,0,274900
201,80,8546,4,5,2003,2004,1121,1121,2,5,0,2003,2,440,132,140000
202,75,10125,6,6,1977,1977,1196,1279,3,6,2,1980,2,473,238,171500
203,50,7000,6,6,1924,1950,617,1310,2,6,0,1924,1,398,0,112000
204,NA,4438,6,5,2004,2004,848,848,1,3,1,2004,2,420,149,149000
205,50,3500,5,7,1947,1950,720,1284,2,5,0,1948,1,240,0,110000
206,99,11851,7,5,1990,1990,1424,1442,3,5,0,1990,2,500,0,180500
207,40,13673,5,5,1962,1962,1140,1696,3,8,1,1962,1,349,0,143900
208,NA,12493,4,5,1960,1960,1100,1100,3,6,1,1960,1,312,355,141000
209,NA,14364,7,5,1988,1989,1157,2062,3,7,1,1988,2,454,60,277000
210,75,8250,6,7,1964,1964,1092,1092,3,6,0,1964,2,504,0,145000
211,67,5604,5,6,1925,1950,864,864,2,5,0,NA,0,0,0,98000
212,83,10420,6,5,2009,2009,1212,1212,3,6,0,2009,2,460,100,186000
213,72,8640,7,5,2009,2009,900,1852,3,7,1,2009,2,644,168,252678
214,43,13568,5,5,1995,1995,990,990,3,5,0,1996,2,576,224,156000
215,NA,10900,6,7,1977,1977,689,1392,3,6,0,1977,1,299,0,161750
216,72,10011,5,6,1957,1996,1070,1236,2,6,1,1957,1,447,0,134450
217,65,8450,7,5,2004,2004,1436,1436,3,8,0,2004,2,484,139,210000
218,57,9906,4,4,1925,1950,686,1328,3,8,0,1940,1,210,0,107000
219,NA,15660,7,9,1939,2006,798,1954,3,8,2,1939,2,431,0,311500
220,43,3010,7,5,2005,2006,1248,1248,2,5,0,2005,2,438,108,167240
221,73,8990,7,5,2006,2006,1498,1498,2,5,0,2006,2,675,351,204900
222,NA,8068,6,5,2002,2002,1010,2267,4,8,1,2002,2,390,120,200000
223,85,11475,6,6,1975,1975,713,1552,3,6,1,1975,2,434,209,179900
224,70,10500,4,6,1971,1971,864,864,2,4,0,1989,2,576,216,97000
225,103,13472,10,5,2003,2003,2392,2392,3,8,1,2003,3,968,248,386250
226,21,1680,5,5,1971,1971,630,1302,3,6,0,1991,1,280,0,112000
227,82,9950,7,5,1995,1995,1203,2520,4,9,1,1995,3,721,224,290000
228,21,1869,6,6,1970,1970,483,987,2,5,0,1987,1,280,0,106000
229,70,8521,5,5,1967,1967,912,912,3,5,1,1974,1,336,0,125000
230,43,3182,7,5,2005,2006,1373,1555,2,7,1,2005,2,430,143,192500
231,73,8760,6,6,1959,1959,1194,1194,3,6,0,1959,1,312,0,148000
232,174,15138,8,5,1995,1996,1462,2794,4,9,1,1995,3,810,0,403000
233,21,1680,6,5,1972,1972,483,987,2,5,1,1972,1,288,0,94500
234,75,10650,5,6,1976,1976,894,894,3,5,0,1976,1,308,365,128200
235,NA,7851,6,5,2002,2002,860,1960,4,8,2,2002,2,440,288,216500
236,21,1680,6,3,1971,1971,483,987,2,5,0,1971,1,264,0,89500
237,65,8773,7,5,2004,2004,1414,1414,3,6,0,2004,2,494,132,185500
238,NA,9453,7,7,1993,2003,996,1744,3,7,0,1993,2,457,370,194500
239,93,12030,8,5,2007,2007,1694,1694,3,7,0,2007,3,818,168,318000
